"Input","Target"
" which movies can be described by cold","	Children of Men, The Thing, Never Let Me Go, We Need to Talk About Kevin, The Fall, The American, The Treasure of the Sierra Madre, March of the Penguins, Last Night, Whiteout, Sleeping Beauty, I Am Love"
" what movies can be described with polar","	The Thing, Happy Feet, March of the Penguins, Whiteout, Encounters at the End of the World, Iceman, The Island at the Top of the World, To the Arctic 3D, Shackleton's Antarctic Adventure"
" what movies can be described by the melancholy of resistance","	Werckmeister Harmonies"
" which films can be described by gangsterfilm","	Donnie Brasco, The Untouchables, True Romance"
" what films can be described by iggy pop!!!","	Dead Man"
" what movies are about quebec","	The Barbarian Invasions, Starbuck, Tom at the Farm, Black Robe, Polytechnique, Seducing Doctor Lewis"
" what movies can be described by gender ambiguity","	Albert Nobbs"
" which films can be described by incomplete story","	Next"
" what movies are about planet","	Aliens, Rise of the Planet of the Apes"
" what movies are about bloodthirsty us president","	Eagle Eye, The Dead Zone"
" what movies are about rare","	A Short Film About Love, The Machine Girl, Little Fish, Yves Saint Laurent, The Unknown Soldier, Kirikou and the Sorceress, Innocence, Yesterday, Today and Tomorrow, Lady Chatterley, I Hired a Contract Killer, Soldier Blue, Shadows in Paradise, Calamari Union, Da Hip Hop Witch, Tears of April, Camilla, Emmanuel's Gift"
" which movies can be described by airplane","	Up in the Air, Flight, Con Air, Top Gun, Non-Stop, Flightplan, Snakes on a Plane, Red Eye, Mad Max Beyond Thunderdome, Kiki's Delivery Service, A Simple Plan, Flyboys, Memphis Belle, Lovers of the Arctic Circle, Iron Eagle, Turbulence, Never Cry Wolf, Iron Eagle II, The Giant Claw, The Bride Came C.O.D."
" what films can be described by confidence game","	The Sting, House of Games"
" what movies are about hysterical","	Requiem for a Dream, School of Rock, Zoolander, Carlito's Way, Arsenic and Old Lace, Black Dynamite, Waiting for Guffman, The Ex"
" which films are about moody atmosphere","	The Wolfman"
" what films are about s.e. hinton","	The Outsiders, Rumble Fish, That Was Then... This Is Now, Tex"
" what movies can be described by carey mulligan","	Drive, The Great Gatsby, Shame, An Education, Never Let Me Go, The Greatest"
" what films can be described by bisexuality","	The Talented Mr. Ripley, Chasing Amy, Frida, Kinsey"
" which films are about steve oedekerk","	Nothing to Lose"
" which films are about hardship","	Leviathan, The Yearling"
" which movies can be described by widower","	A Clockwork Orange, We Bought a Zoo, Nanny McPhee, Exotica, Love Is All You Need, Magicians"
" what films can be described by setting:palo alto (ca/usa)","	The Social Network"
" what movies are about finland","	Hanna, Lovers of the Arctic Circle, The Unknown Soldier, Lights in the Dusk, The Punk Syndrome"
" which movies can be described by feud","	Underworld, Blue Ruin"
" which movies can be described by teenagers","	Juno, Harry Potter and the Goblet of Fire, Twilight, Harry Potter and the Half-Blood Prince, Scott Pilgrim vs. the World, About a Boy, The Virgin Suicides, The Lost Boys, The Spectacular Now, Thirteen, Youth in Revolt, She's All That, Go, Submarine, The Squid and the Whale, God Bless America, Kids, The Craft, A Simple Plan, Badlands, Show Me Love, Friday the 13th Part 2, Stake Land, The Class, Ken Park, Roger Dodger, My Life as a Dog, Kidulthood, Lord of the Flies, Margaret, Trees Lounge, XXY, Adulthood, Machuca, Teen Beach Movie, Somers Town, North Sea Texas, The Love of Siam, Remember the Daze, The Giant Gila Monster, The World of Henry Orient, Reckless, The World of Kanako"
" what films are about 80s","	The Terminator, Super 8, The Breakfast Club, Ferris Bueller's Day Off, 8 Mile, RoboCop, The Goonies, Big, The Karate Kid, Poltergeist, Fast Times at Ridgemont High, Sixteen Candles, Romancing the Stone, Risky Business, Heathers, Take Me Home Tonight, Short Circuit, The Golden Child, Flight of the Navigator, Flashdance, Bachelor Party, The Last Starfighter, No Way Out, Real Genius, Cold in July, Wonderland, Some Kind of Wonderful, The Monster Squad, Fame, Desperately Seeking Susan, Summer School, Night of the Comet, Boxing Helena, Just One of the Guys, The Last Dragon, Girls Just Want to Have Fun, The Garbage Pail Kids Movie, Private School, Teddy Bear, Real Men, Reckless, The Dirt Bike Kid"
" what films are about classic literature","	The Count of Monte Cristo, Sense and Sensibility, Wuthering Heights, Persuasion"
" what movies can be described with bad adaptation","	The Avengers, Iron Man 3, Thor, The Amazing Spider-Man, I, Robot, Closer, The Hitchhiker's Guide to the Galaxy, Breakfast at Tiffany's, Never Let Me Go, Persepolis, Alone in the Dark, Tekken, The Diary of Anne Frank, Robinson Crusoe, All-Star Superman, Flowers in the Attic, Brave New World, Chill"
" which movies can be described by allen ginsberg","	Howl"
" which films can be described by artist","	Vicky Cristina Barcelona, La Vie en Rose, Frida, Girl with a Pearl Earring, Candy, Prime, Man on Wire, Pollock, Andrei Rublev, Fly Away Home, Junebug, Basquiat, Sirens, The Devil and Daniel Johnston, Lust for Life, I Shot Andy Warhol, Camille Claudel, Carrington, The Horse's Mouth, The Adventures of Picasso, Artemisia, Age of Consent, Maze"
" which movies are about wayne wang","	Smoke, The Joy Luck Club, Chan Is Missing"
" which films can be described by samantha barks","	Les Misérables"
" which films can be described by william s. burroughs","	Naked Lunch"
" which movies can be described by smart drugs","	Limitless"
" which films are about clowns","	Zombieland, Poltergeist, The Devil's Rejects, Delicatessen, House of 1000 Corpses, Killer Klowns from Outer Space, Quick Change, Santa Sangre, The Last Circus, Shakes the Clown, Vulgar, Clownhouse, Real Men, Killjoy"
" what movies can be described by fake movies","	Argo, My Name Is Bruce"
" which movies can be described by cary elwes","	Saw, The Princess Bride, Twister, Ella Enchanted, Shadow of the Vampire, Georgia Rule, The Crush, Hellgate"
" what movies can be described by female warriors","	The Girl with the Dragon Tattoo, Serenity, John Carter, Æon Flux, House of Flying Daggers, The Last Legion, Azumi, Female Agents, The Adventures of Hajji Baba"
" which films can be described by society","	Invictus, Only Lovers Left Alive, Becoming Jane, The Age of Innocence, Pump Up the Volume, Vanity Fair, Anna Karenina, Lost in Beijing"
" what movies can be described with sidney franklin","	The Good Earth, The Barretts of Wimpole Street, Private Lives, Smilin' Through, Going Straight, The Dark Angel, Gretchen the Greenhorn"
" which movies are about salespeople","	The 40-Year-Old Virgin, I Heart Huckabees, Happiness, Get Low, Tin Men, Avalon"
" what films can be described by daryl duke","	The Silent Partner, Payday"
" what films can be described by thomas haden church","	Spider-Man 3, Sideways, Smart People"
" what films are about guillermo del toro","	Pan's Labyrinth, Pacific Rim, Hellboy, Blade II, The Orphanage, The Devil's Backbone, Don't Be Afraid of the Dark, Mimic, Cronos"
" which movies can be described by didn't see","	Spirited Away, Pearl Harbor, Legally Blonde, Sphere, Tin Cup, Bulworth"
" which movies are about neal patrick harris","	Gone Girl"
" which films are about jim morrison","	The Doors"
" what movies can be described by contrived","	Children of Men, Hot Fuzz, 2012, Signs, Brokeback Mountain, Serenity, Taken 2, The Lincoln Lawyer, Transcendence, Knight and Day, The Imaginarium of Doctor Parnassus, The Brothers Grimm, John Q, Get Shorty, Changing Lanes, Chaos, The Nines, Torque, The Spanish Prisoner, Nights in Rodanthe"
" which movies are about ending sucked","	The Butterfly Effect, The Hunt, The Lovely Bones, Remember Me, Killer Joe"
" what movies can be described by jimmy smits","	The Jane Austen Book Club, Bless the Child"
" what movies can be described by cia comedy","	The Man with One Red Shoe, Hopscotch"
" which movies can be described by zizek's pick","	Vertigo, Blue Velvet, They Live"
" which films can be described by gay propaganda","	V for Vendetta, The Night Listener, Walk on Water, Wordplay"
" what movies can be described by puppy","	Equilibrium, The Interview, John Wick"
" which films can be described by jermaine clement","	Eagle vs Shark"
" what films can be described by new zealand","	The Last Samurai, The Piano, Heavenly Creatures, The World's Fastest Indian, Bad Taste, Black Sheep, Whale Rider, What We Do in the Shadows, Once Were Warriors, The Quiet Earth, Fly Away Home, Meet the Feebles, Housebound, Boy, In My Father's Den, Forgotten Silver, An Angel at My Table, The Endless Summer, River Queen, The Devil Dared Me To"
" which films can be described by bill nighy","	Love Actually, Valkyrie, About Time, Flushed Away, The Best Exotic Marigold Hotel, Wild Target, The Girl in the Café, I Capture the Castle"
" what movies can be described with lack of story","	Star Trek, Blade Runner, John Wick, Rise of the Guardians"
" which films are about bjÃ¶rk","	Dancer in the Dark, Drawing Restraint 9"
" what films are about ramin bahrani","	Goodbye Solo, Chop Shop, Man Push Cart, Plastic Bag, 99 Homes"
" what movies can be described by ice age","	The Colony"
" which films are about sequel fever","	Back to the Future Part III, The Mummy Returns, Beverly Hills Cop III, Father of the Bride Part II, Grumpier Old Men"
" what films can be described by excellent cinematography","	The Avengers, American Beauty, The Cabin in the Woods, Devil, Let Me In, Love Me If You Dare, The Astronaut's Wife, Bound, The Ugly"
" what films are about barbra streisand","	The Guilt Trip, Funny Girl, The Mirror Has Two Faces"
" what films are about elizabeth shue","	Back to the Future Part II, Back to the Future Part III, Hollow Man, Leaving Las Vegas, Adventures in Babysitting"
" what films can be described by not that good","	Jurassic Park, The Forgotten, Best in Show"
" what films are about cavalry trillogy","	Fort Apache, She Wore a Yellow Ribbon, Rio Grande"
" what movies can be described with protagonist is recently widowed","	Ghost, Saving Grace"
" what movies can be described by dave bautista","	Guardians of the Galaxy, Riddick"
" which movies can be described by gadgets","	Iron Man, Law Abiding Citizen, GoldenEye, Megamind, The Green Hornet, Johnny English Reborn, Spy Kids, Taxi 3, Cypher, Arthur and the Invisibles"
" what films can be described by gay history","	Milk"
" which movies can be described by jack ryan","	The Hunt for Red October, The Sum of All Fears, Patriot Games, Clear and Present Danger"
" which movies are about travesty","	Troy, Collateral, Gulliver's Travels"
" which movies can be described by oscar (best makeup)","	Pan's Labyrinth, Dracula"
" what movies are about amazing make-up effects","	Land of the Dead"
" what movies can be described by olivia newton-john","	Grease"
" what films can be described by michael ironside","	Scanners, The Next Karate Kid"
" what movies can be described with derek cianfrance","	The Place Beyond the Pines, Blue Valentine"
" what movies can be described by social network","	The Social Network"
" what movies are about incomprehensible","	The Game, Primer, Stalker, Stay, S. Darko"
" which movies can be described by emma thompson","	Harry Potter and the Prisoner of Azkaban, Harry Potter and the Order of the Phoenix, Love Actually, Brave, An Education, Saving Mr. Banks, In the Name of the Father, Sense and Sensibility, The Last Emperor, Junior, Nanny McPhee, The Remains of the Day, Much Ado About Nothing, Primary Colors, Henry V, Dead Again, Howards End, Last Chance Harvey, Wit, Carrington"
" which films are about awesome performance","	The Wrestler, Frost/Nixon"
" which movies can be described by masonic messages","	The Man Who Would Be King, We All Loved Each Other So Much, The Magic Flute"
" what movies are about heroism","	Gladiator, Schindler's List, Braveheart, Die Hard, Argo, Black Hawk Down, Hotel Rwanda, Wreck-It Ralph, Total Recall, Battleship, Rango, We Were Soldiers, United 93, Mad Max Beyond Thunderdome, A League of Their Own, The Longest Day, Ballad of a Soldier, Bulldog Drummond Escapes"
" what movies are about iggy pop","	Dead Man, Coffee and Cigarettes, Tank Girl"
" what movies can be described by digital editing","	Public Enemies"
" what films can be described by british new wave","	A Hard Day's Night, Kes, Tom Jones, The Servant, The Loneliness of the Long Distance Runner, Saturday Night and Sunday Morning, This Sporting Life, Billy Liar, Darling, Room at the Top, A Taste of Honey, Accident, Look Back in Anger, The Entertainer, Modesty Blaise, The L-Shaped Room, A Kind of Loving"
" what films are about formula 1","	Rush, Senna"
" what films are about alexis bledel","	Sin City, The Sisterhood of the Traveling Pants, The Sisterhood of the Traveling Pants 2, Tuck Everlasting, Post Grad, I'm Reed Fish"
" which films can be described by wall street","	The Wolf of Wall Street, Trading Places, Margin Call"
" which films are about nouvelle vague","	A Woman Is a Woman"
" what films are about stuck","	Phone Booth, Cube, Buried, Devil"
" what films are about no us release","	Ocean Waves, Godzilla 1985"
" what movies are about chick-flick","	Bend It Like Beckham, Wimbledon, Divine Secrets of the Ya-Ya Sisterhood"
" what films can be described by on hold","	Saving Private Ryan, Serenity, The Constant Gardener, Kiki's Delivery Service, Grizzly Man, The Edukators, Millions, Thumbsucker, Safety Last!, Paper Clips"
" what movies are about memory loss","	Memento, Eternal Sunshine of the Spotless Mind, Finding Nemo, The Bourne Identity, The Notebook, Oblivion, 50 First Dates, Awakenings, The Forgotten, Unknown, Away from Her, Diminished Capacity"
" which movies can be described by chefs","	Ratatouille, The Celebration, Eat Drink Man Woman, Mostly Martha, Vatel"
" what movies can be described with john krasinski","	The Holiday, It's Complicated, Away We Go, Something Borrowed, License to Wed"
" what movies are about dudley moore","	Arthur, 10, Crazy People, Unfaithfully Yours"
" which movies are about breathtaking","	Braveheart, Brokeback Mountain, The Lives of Others, Mulholland Drive, Eyes Wide Shut, Crouching Tiger, Hidden Dragon, Dances with Wolves, Lawrence of Arabia, Hero, Dogville, The Seventh Seal, Talk to Her, The New World, Wild Strawberries, Picnic at Hanging Rock, The Passion of Joan of Arc, L'Avventura, George Washington"
" which movies can be described by 1.5","	The Green Mile, Good Will Hunting, The Incredibles, Rain Man, Meet the Parents, Downfall, Insomnia, Gattaca, K-PAX, The Whole Nine Yards, Secretary, The Straight Story, Go, Waking Life, The Edukators, Stranger Than Paradise, The Ref, Slacker, The Life and Death of Peter Sellers, Betty Blue, Internal Affairs, Intacto, A Chinese Ghost Story, The End of Violence, The Confessional, Eye of God"
" which films can be described by close escape","	Pearl Harbor, Salt"
" which movies are about seijun suzuki","	Branded to Kill, Tokyo Drifter, Gate of Flesh, Youth of the Beast, Story of a Prostitute"
" which movies can be described by mark herman","	Brassed Off, Little Voice"
" which movies can be described by bryan greenberg","	Prime, The Perfect Score, Nobel Son"
" what movies are about franklin j. schaffner","	Planet of the Apes, Papillon, Patton, The Boys from Brazil, Nicholas and Alexandra, The Best Man, The War Lord"
" which movies are about mysoginistic","	Sixteen Candles, Vampires"
" what movies can be described by pretentiousness","	Crash, The Remains of the Day"
" what movies are about james ponsoldt","	The Spectacular Now, Smashed, The End of the Tour"
" which movies can be described by overly stylised","	The Darjeeling Limited, Sky Captain and the World of Tomorrow"
" which films are about haiti","	The Serpent and the Rainbow, Heading South"
" what films can be described by scottish accent","	Star Trek Into Darkness"
" what films are about 20th century","	Fearless, La Vie en Rose"
" what films are about anglo-indian relations","	Gandhi, A Passage to India, Gunga Din, The Rains Came"
" which movies can be described by not enough action","	Thor, Bunraku"
" what films can be described by episode cinema","	Paris, je t'aime"
" what movies can be described with sheldon lettich","	Double Impact, Lionheart, Only the Strong"
" what films are about village","	Equilibrium, The Village, Dogville, The Station Agent, Fried Green Tomatoes, Straw Dogs, Emma, Manderlay, My Life as a Dog, As It Is in Heaven, Winter Light, The Stoning of Soraya M., Of Gods and Men, Noi the Albino, California Dreamin', The Widow of Saint-Pierre, The Ballad of Narayama, Earth"
" which films are about skeletor","	50/50, Masters of the Universe"
" what movies can be described with natalie wood","	West Side Story, Rebel Without a Cause, Miracle on 34th Street, Splendor in the Grass"
" what films can be described by algeria","	The Battle of Algiers, Days of Glory, Of Gods and Men, Outside the Law, The Rabbi's Cat"
" which films can be described by death row","	The Green Mile, Capote, Dead Man Walking"
" which movies are about wushu","	Fearless, Wing Chun"
" what movies can be described by masons","	National Treasure, The Man Who Would Be King"
" which movies can be described by ambush","	Centurion"
" which films are about real life","	Heat, Carnage, The Bridges of Madison County, Friday Night Lights, Game Change, Bubble, Drifting Clouds"
" what movies are about jewish family","	Jack and Jill, Slums of Beverly Hills, Avalon"
" which movies are about homicide","	Devil, River's Edge, What Richard Did"
" which films can be described by love&war","	The Notebook, Head in the Clouds"
" what movies are about train station","	Hugo, Blow Out"
" what films are about aaron johnson","	Kick-Ass, Angus, Thongs and Perfect Snogging, The Greatest"
" which movies are about jay roach","	Meet the Parents, Meet the Fockers, Austin Powers in Goldmember, The Campaign, Dinner for Schmucks, Game Change, Recount"
" what movies can be described by amusement park","	Final Destination 3, The Lost Boys, Strangers on a Train, Catwoman, The Ugly Duckling and Me!"
" which movies are about setting:in computer","	The Matrix"
" what movies can be described by =======================","	Casino Royale, Spider-Man 2, The Rape of Europa"
" what films are about hard rock","	School of Rock"
" which films can be described by hostage situations","	Pulp Fiction, Inside Man, Misery"
" what movies can be described by takashi miike","	Hostel, Audition, 13 Assassins, Ichi the Killer, Sukiyaki Western Django, Visitor Q, Gozu, The Happiness of the Katakuris, Dead or Alive, Crows Zero, Izo, The Bird People in China, Zebraman, The City of Lost Souls, The Great Yokai War, Ace Attorney, Big Bang Love, Juvenile A, Graveyard of Honor, Rainy Dog, Blues Harp"
" what films are about child soldiers","	Blood Diamond, Lord of War, Johnny Mad Dog"
" what movies are about book is so much better","	The Bourne Identity, Twilight, The Bourne Supremacy, The Hitchhiker's Guide to the Galaxy, Divine Secrets of the Ya-Ya Sisterhood"
" what movies can be described by infection","	World War Z, Wreck-It Ralph, Quarantine, The Last Days on Mars, Ebola Syndrome"
" what films can be described by too cute","	Finding Nemo"
" what films are about 2d/3d hybrid animation","	Ghost in the Shell"
" which films are about understated charm","	Safety Not Guaranteed"
" what films are about saturn award (best actor)","	The Silence of the Lambs, Raiders of the Lost Ark, Spider-Man 2, Vanilla Sky"
" what films are about acting and story","	Harry Potter and the Half-Blood Prince, Clash of the Titans, Angel Heart, Bullhead, Outsourced"
" which movies can be described by sexuality:bdsm","	The Bank Job, A Dangerous Method, Secretary, Exit to Eden, Scorpio Rising"
" which films are about mikio naruse","	When a Woman Ascends the Stairs, Floating Clouds, Repast, Sound of the Mountain, Late Chrysanthemums, Apart from You"
" what movies are about cinematographer:gordon willis","	The Godfather, Manhattan, The Parallax View"
" which movies can be described by weak dialoges","	Terminator Salvation"
" what films are about olivia thirlby","	Dredd, The Wackness, The Answer Man, What Goes Up"
" what movies can be described with michael rapaport","	Small Time Crooks, Special, Money for Nothing"
" which films are about adolescent gays","	Beautiful Thing"
" which films are about forest fair","	Fun with Dick and Jane, Final Destination 3, Big Momma's House 2"
" which movies are about beauty pageant","	Little Miss Sunshine, Miss Congeniality, Whip It, Drop Dead Gorgeous, Miss Bala, Ass Backwards, Smile, The World Before Her"
" what films are about dramatic irony","	Remember the Titans, Monster's Ball, Fast Food Nation, Last Chance Harvey, The Virgin Spring"
" which films can be described by inauthentic","	The Terminal, Monsieur Ibrahim"
" what movies can be described by interesting premise","	Limitless, Red Lights, The Midnight Meat Train"
" which movies are about hokey","	Man on Fire, Hook"
" what films can be described by interracial love","	Star Trek Into Darkness, Something New, Metropia"
" what movies can be described with one-dimensional characters","	The Intouchables, Midnight in Paris"
" which films can be described by eco-horror","	Piranha, Orca, Frogs, The Food of the Gods, Day of the Animals"
" what movies can be described by shaolin","	Martial Arts of Shaolin, Shaolin Temple"
" what movies can be described by chris morris","	Four Lions"
" what films are about ed helms","	The Hangover, The Hangover Part II, We're the Millers"
" which films are about deepa mehta","	Water, Earth, Fire"
" which movies are about ecology","	Avatar, Nausicaä of the Valley of the Wind, Earth, Pom Poko"
" what movies can be described by ray winstone","	Edge of Darkness, Fool's Gold, Scum"
" which movies are about charming","	Forrest Gump, Amélie, Brave, Hugo, Ferris Bueller's Day Off, About Time, Ed Wood, High Fidelity, An Education, Australia, Billy Elliot, Safety Not Guaranteed, Once, Volver, Sixteen Candles, Say Anything..., The Station Agent, Being There, Fever Pitch, The Purple Rose of Cairo, The Little Rascals, A Hard Day's Night, Paperman, Strictly Ballroom, Local Hero, My Life in Ruins, Big Night, Tampopo, La Luna, Gregory's Girl, Barcelona"
" which films are about mike binder","	Reign Over Me, The Upside of Anger, Blankman"
" which films can be described by amazing acting","	Monster"
" what movies are about awkward situations","	The Perks of Being a Wallflower, Bridesmaids, The Internship"
" what movies can be described by to see: kites for kiddos","	Time Bandits, The Air Up There, The Baby-Sitters Club, Warriors of Virtue"
" what films can be described by shallow plot","	Gladiator, Slumdog Millionaire, Jurassic Park, Iron Man 3, Independence Day, The Hurt Locker, Speed, True Lies, The Chronicles of Riddick, Shallow Hal"
" what movies can be described with reese witherspoon","	American Psycho, Walk the Line, Cruel Intentions, This Means War, Legally Blonde, Monsters vs. Aliens, Pleasantville, Water for Elephants, Sweet Home Alabama, Little Nicky, Election, Rendition, Four Christmases, How Do You Know, Fear, Freeway, The Importance of Being Earnest, Vanity Fair, The Man in the Moon, Twilight"
" which films can be described by popularity","	The Social Network, Mean Girls, Thirteen, Heathers"
" which movies can be described by nicola tesla","	The Prestige"
" which films are about semi-good sports movies","	Remember the Titans, Bend It Like Beckham, The Natural, Breaking Away"
" what films are about ussr","	The Hunt for Red October, Clear and Present Danger, Ninotchka"
" what films are about chase scenes","	No Country for Old Men, Skyfall, World War Z, Cloud Atlas"
" which movies can be described by elizabethan","	Shakespeare in Love, Elizabeth, Orlando"
" which films are about russian","	Eastern Promises, The Hunt for Red October, Defiance, Stalker, Doctor Zhivago, Night Watch, Solaris, Day Watch, Come and See, Andrei Rublev, The Mirror, Leviathan, Ivan's Childhood, Burnt by the Sun, The Barber of Siberia, Kin-dza-dza!, The Fourth Protocol, Moscow Does Not Believe in Tears, The Cuckoo, Gentlemen of Fortune, The Thief, Prisoner of the Mountains, A Cruel Romance, Window to Paris, Sadko, Twenty Days Without War"
" which movies can be described by oscar (best effects - sound effects editing)","	The Matrix, Saving Private Ryan, Jurassic Park, Indiana Jones and the Last Crusade, The Incredibles, Who Framed Roger Rabbit"
" which movies can be described by over coming adversity","	Precious"
" what movies are about steve carell","	Little Miss Sunshine, Despicable Me, The 40-Year-Old Virgin, Knocked Up, Bruce Almighty, Despicable Me 2, Get Smart, Date Night, Over the Hedge, Evan Almighty, The Way Way Back, Horton Hears a Who!, Dan in Real Life, Seeking a Friend for the End of the World, Dinner for Schmucks, Foxcatcher, The Incredible Burt Wonderstone, Bewitched, Hope Springs, Melinda and Melinda, Curly Sue"
" what movies can be described by typical","	Easy A, Transcendence, Cracks"
" what movies can be described with sentimental","	The Shawshank Redemption, Inception, Forrest Gump, Titanic, The Green Mile, Interstellar, The Notebook, Life Is Beautiful, Casablanca, Oblivion, Big Fish, It's a Wonderful Life, The Breakfast Club, Fury, Moulin Rouge!, The Artist, Ghost, Rocky Balboa, You've Got Mail, Cinema Paradiso, The English Patient, Breakfast at Tiffany's, City of Angels, Death at a Funeral, Awakenings, Casper, The Switch, The New World, Beasts of the Southern Wild, Mona Lisa Smile, The Bridges of Madison County, Saturday Night Fever, Fried Green Tomatoes, La Strada, Grudge Match, Terms of Endearment, Steel Magnolias, City Island, Love Story, Glitter, Simon Birch, Akeelah and the Bee, Days of Being Wild, Monsieur Ibrahim, The Newton Boys, Indochine, Saint Ralph, Anna Karenina, Children of Glory, A Guy Named Joe"
" which films are about badass girl","	Severance"
" what movies can be described with very good","	Fight Club, Pulp Fiction, Gladiator, The Usual Suspects, Raiders of the Lost Ark, Finding Nemo, Toy Story, Independence Day, Spider-Man 2, Cast Away, Edward Scissorhands, Mystic River, Oldboy, Lost in Translation, The Italian Job, Being John Malkovich, Van Helsing, Finding Neverland, Chicago, The Beach, Remember the Titans, The Polar Express, Billy Elliot, City Lights, Good Morning, Vietnam, M, Empire of the Sun, The Motorcycle Diaries, Frequency, The Basketball Diaries, The Dreamers, Midnight Cowboy, The People vs. Larry Flynt, All the President's Men, The Siege, In Good Company, My Left Foot, The Remains of the Day, The Crying Game, Life as a House, A Hard Day's Night, Blow Out, Raise the Red Lantern, The Big Boss, Carandiru"
" which movies can be described by kermit","	The Muppet Movie"
" what movies are about castration","	Sin City, The Big Lebowski, Let the Right One In, Teeth, Pink Flamingos, In the Realm of the Senses, Farinelli"
" what films are about provocative","	The Wolf of Wall Street, Strange Days, Show Me Love, Water, Innocence"
" which films can be described by hitchhiker","	No Country for Old Men, Into the Wild, The Hitchhiker's Guide to the Galaxy, Kikujiro, Female Trouble"
" which movies are about autobiography","	Persepolis, Waltz with Bashir, The Wall"
" which films are about dwelling as character","	The Shining, Alien, Serenity, Beetlejuice, The Rocky Horror Picture Show, Poltergeist, Rebecca, The Amityville Horror, Monster House, The Haunting, The Haunting in Connecticut, House on Haunted Hill, 13 Ghosts"
" which movies can be described by technobabble","	Mr. Nobody, The Giant Claw"
" which movies can be described by engineers","	Primer"
" which movies are about media","	The Truman Show, Natural Born Killers, The Insider, Bonnie and Clyde, God Bless America, Primary Colors, The Bonfire of the Vanities, Control Room, Love and a .45, Miss Representation, The Apple"
" which films can be described by haunted by the past","	The Silence of the Lambs, Memento, Magnolia, Vertigo, Hannibal, Chinatown, The Orphanage, Breakfast at Tiffany's, Flatliners, Black Snake Moan, Bad Education, Paris, Texas, Last Tango in Paris, Don't Look Now, Peeping Tom, The Conformist, The Princess and the Warrior, Taste of Cherry, The Killers, Dark Passage, The Secret Life of Words, Opera, After Life, Amateur, Veronika Voss, Purge"
" what movies can be described by fish out of water","	The Green Mile, Back to the Future, Ratatouille, Edward Scissorhands, Hot Fuzz, Back to the Future Part II, E.T. the Extra-Terrestrial, Back to the Future Part III, Pretty Woman, Some Like It Hot, The Little Mermaid, Army of Darkness, Coming to America, Ponyo, The Hudsucker Proxy, The Pacifier, Stranger Than Paradise, The Wild, Ace in the Hole, Jungle 2 Jungle, Walkabout, The Man Who Fell to Earth, Roger Dodger, Funny Farm, Big Business"
" what films are about male prostitute","	The Basketball Diaries, Midnight Cowboy, Mysterious Skin, Transamerica, Shortbus, Happy Together, Desi Boyz, Man at Bath"
" which films are about outcast","	Let the Right One In, Close Encounters of the Third Kind, The Hidden, Heartless"
" what films can be described by explicit sex","	Lust, Caution, The Idiots, Atomised"
